Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Кабаненко,Аркадій,Володимирович,Чоловіча,31-05-1945,Медик,хутір Моспине,"набережна Псковська, буд. 999 кв. 270, Люботин, 10015",231-94-06,bohdanna51@example.org
Штепа,Амвросій,Станіславович,Чоловіча,07-02-1947,Стоматолог,місто Косів,"провулок Тінистий, буд. 3 кв. 4, Бар, 63029",+380 47 903-51-40,sviatoslav70@example.net
Москаль,Григорій,Валерійович,Чоловіча,07-01-1952,Ювелір,місто Заліщики,"проспект Малиновський, буд. 0 кв. 514, Олександрія, 84947",+380 87 042-05-59,aoberemko@example.com
Голик,Ярослав,Йосипович,Чоловіча,07-10-1977,Стиліст,село Гадяч,"набережна Складська, буд. 81 кв. 398, Шумськ, 93289",+380 (23) 896-30-10,romanchukfedir@example.com
Червоненко,Венедикт,Богуславович,Чоловіча,10-09-1999,Фармацевт,село Кременець,"провулок 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 54, Чернігів, 08599",+380 61 681 09 91,sabramenko@example.org
Абраменко,Зорян,Віталійович,Чоловіча,01-03-1999,Музичний редактор,селище Бердянськ,"парк Луцька, буд. 6, Жовті Води, 53346",023 105 82 57,shabliiavhustyn@example.org
Атаманюк,Зиновій,Зорянович,Чоловіча,26-12-1976,Літературознавець,селище Костянтинівка,"площа Лінія 37-ма, буд. 44 кв. 5, Новомиргород, 85690",199-77-80,ktereshchuk@example.com
Сірченко,Максим,Пилипович,Чоловіча,16-04-1952,Мінералог,селище Баштанка,"сквер Лінія 48-ма, буд. 896 кв. 2, Барвінкове, 65541",+380 44 982 01 94,illiababych@example.net
Гунько,Станіслав,Захарович,Чоловіча,19-12-1983,Електромонтер,хутір Бурштин ,"шосе Хутірський, буд. 13 кв. 74, Гола Пристань, 16819",038 233-85-83,martyn65@example.com
Бакуменко,Олег,Азарович,Чоловіча,14-10-2000,Нотаріус,хутір Івано-Франківськ,"шосе Лузанівський 1-й, буд. 9, Радивилів, 32803",041 117 96 66,mykytazaichenko@example.net
